date_key,date_jour,annee,trimestre,mois,mois_nom,jour,semaine_iso,jour_semaine_num,jour_semaine_nom,est_weekend,annee_mois,annee_trimestre,debut_mois,debut_semaine
20221002,2022-10-02,2022,4,10,October,2,39,7,Sunday,true,2022-10,2022-T4,2022-10-01,2022-09-26
20221003,2022-10-03,2022,4,10,October,3,40,1,Monday,false,2022-10,2022-T4,2022-10-01,2022-10-03
20221004,2022-10-04,2022,4,10,October,4,40,2,Tuesday,false,2022-10,2022-T4,2022-10-01,2022-10-03
20221005,2022-10-05,2022,4,10,October,5,40,3,Wednesday,false,2022-10,2022-T4,2022-10-01,2022-10-03
20221006,2022-10-06,2022,4,10,October,6,40,4,Thursday,false,2022-10,2022-T4,2022-10-01,2022-10-03
20221007,2022-10-07,2022,4,10,October,7,40,5,Friday,false,2022-10,2022-T4,2022-10-01,2022-10-03
20221008,2022-10-08,2022,4,10,October,8,40,6,Saturday,true,2022-10,2022-T4,2022-10-01,2022-10-03
20221009,2022-10-09,2022,4,10,October,9,40,7,Sunday,true,2022-10,2022-T4,2022-10-01,2022-10-03
20221010,2022-10-10,2022,4,10,October,10,41,1,Monday,false,2022-10,2022-T4,2022-10-01,2022-10-10
20221011,2022-10-11,2022,4,10,October,11,41,2,Tuesday,false,2022-10,2022-T4,2022-10-01,2022-10-10
20221012,2022-10-12,2022,4,10,October,12,41,3,Wednesday,false,2022-10,2022-T4,2022-10-01,2022-10-10
20221013,2022-10-13,2022,4,10,October,13,41,4,Thursday,false,2022-10,2022-T4,2022-10-01,2022-10-10
20221014,2022-10-14,2022,4,10,October,14,41,5,Friday,false,2022-10,2022-T4,2022-10-01,2022-10-10
20221015,2022-10-15,2022,4,10,October,15,41,6,Saturday,true,2022-10,2022-T4,2022-10-01,2022-10-10
20221016,2022-10-16,2022,4,10,October,16,41,7,Sunday,true,2022-10,2022-T4,2022-10-01,2022-10-10
20221017,2022-10-17,2022,4,10,October,17,42,1,Monday,false,2022-10,2022-T4,2022-10-01,2022-10-17
20221018,2022-10-18,2022,4,10,October,18,42,2,Tuesday,false,2022-10,2022-T4,2022-10-01,2022-10-17
20221019,2022-10-19,2022,4,10,October,19,42,3,Wednesday,false,2022-10,2022-T4,2022-10-01,2022-10-17
20221020,2022-10-20,2022,4,10,October,20,42,4,Thursday,false,2022-10,2022-T4,2022-10-01,2022-10-17
20221021,2022-10-21,2022,4,10,October,21,42,5,Friday,false,2022-10,2022-T4,2022-10-01,2022-10-17
20221022,2022-10-22,2022,4,10,October,22,42,6,Saturday,true,2022-10,2022-T4,2022-10-01,2022-10-17
20221023,2022-10-23,2022,4,10,October,23,42,7,Sunday,true,2022-10,2022-T4,2022-10-01,2022-10-17
20221024,2022-10-24,2022,4,10,October,24,43,1,Monday,false,2022-10,2022-T4,2022-10-01,2022-10-24
20221025,2022-10-25,2022,4,10,October,25,43,2,Tuesday,false,2022-10,2022-T4,2022-10-01,2022-10-24
20221026,2022-10-26,2022,4,10,October,26,43,3,Wednesday,false,2022-10,2022-T4,2022-10-01,2022-10-24
20221027,2022-10-27,2022,4,10,October,27,43,4,Thursday,false,2022-10,2022-T4,2022-10-01,2022-10-24
20221028,2022-10-28,2022,4,10,October,28,43,5,Friday,false,2022-10,2022-T4,2022-10-01,2022-10-24
20221029,2022-10-29,2022,4,10,October,29,43,6,Saturday,true,2022-10,2022-T4,2022-10-01,2022-10-24
20221030,2022-10-30,2022,4,10,October,30,43,7,Sunday,true,2022-10,2022-T4,2022-10-01,2022-10-24
20221031,2022-10-31,2022,4,10,October,31,44,1,Monday,false,2022-10,2022-T4,2022-10-01,2022-10-31
20221101,2022-11-01,2022,4,11,November,1,44,2,Tuesday,false,2022-11,2022-T4,2022-11-01,2022-10-31
20221102,2022-11-02,2022,4,11,November,2,44,3,Wednesday,false,2022-11,2022-T4,2022-11-01,2022-10-31
20221103,2022-11-03,2022,4,11,November,3,44,4,Thursday,false,2022-11,2022-T4,2022-11-01,2022-10-31
20221104,2022-11-04,2022,4,11,November,4,44,5,Friday,false,2022-11,2022-T4,2022-11-01,2022-10-31
20221105,2022-11-05,2022,4,11,November,5,44,6,Saturday,true,2022-11,2022-T4,2022-11-01,2022-10-31
20221106,2022-11-06,2022,4,11,November,6,44,7,Sunday,true,2022-11,2022-T4,2022-11-01,2022-10-31
20221107,2022-11-07,2022,4,11,November,7,45,1,Monday,false,2022-11,2022-T4,2022-11-01,2022-11-07
20221108,2022-11-08,2022,4,11,November,8,45,2,Tuesday,false,2022-11,2022-T4,2022-11-01,2022-11-07
20221109,2022-11-09,2022,4,11,November,9,45,3,Wednesday,false,2022-11,2022-T4,2022-11-01,2022-11-07
20221110,2022-11-10,2022,4,11,November,10,45,4,Thursday,false,2022-11,2022-T4,2022-11-01,2022-11-07
20221111,2022-11-11,2022,4,11,November,11,45,5,Friday,false,2022-11,2022-T4,2022-11-01,2022-11-07
20221112,2022-11-12,2022,4,11,November,12,45,6,Saturday,true,2022-11,2022-T4,2022-11-01,2022-11-07
20221113,2022-11-13,2022,4,11,November,13,45,7,Sunday,true,2022-11,2022-T4,2022-11-01,2022-11-07
20221114,2022-11-14,2022,4,11,November,14,46,1,Monday,false,2022-11,2022-T4,2022-11-01,2022-11-14
20221115,2022-11-15,2022,4,11,November,15,46,2,Tuesday,false,2022-11,2022-T4,2022-11-01,2022-11-14
20221116,2022-11-16,2022,4,11,November,16,46,3,Wednesday,false,2022-11,2022-T4,2022-11-01,2022-11-14
20221117,2022-11-17,2022,4,11,November,17,46,4,Thursday,false,2022-11,2022-T4,2022-11-01,2022-11-14
