transaction_key,client_key,article_key,date_key,montant_usd,note_avis,mode_paiement,date_achat
2049,4081,27,20221109,145.0,4.0,Credit Card,2022-11-09
2050,4081,31,20221202,20.0,4.1,Cash,2022-12-02
2051,4081,7,20230110,199.0,2.6,Cash,2023-01-10
2052,4081,9,20230116,93.0,2.5,Credit Card,2023-01-16
2053,4081,50,20230222,64.0,3.4,Credit Card,2023-02-22
2054,4081,5,20230315,198.0,1.6,Cash,2023-03-15
2055,4081,16,20230318,31.0,4.8,Credit Card,2023-03-18
2056,4081,42,20230325,2108.0,,Cash,2023-03-25
2057,4081,37,20230506,67.0,4.1,Credit Card,2023-05-06
2058,4081,20,20230603,44.0,2.2,Credit Card,2023-06-03
2059,4081,23,20230615,86.0,2.9,Credit Card,2023-06-15
2060,4081,28,20230621,141.0,1.7,Cash,2023-06-21
2061,4081,44,20230709,113.0,,Cash,2023-07-09
2062,4081,37,20230716,50.0,,Credit Card,2023-07-16
2063,4081,31,20230728,173.0,2.9,Cash,2023-07-28
2064,4081,1,20230810,150.0,2.9,Cash,2023-08-10
2065,4081,9,20230817,147.0,3.2,Credit Card,2023-08-17
2066,4081,41,20230829,123.0,3.6,Cash,2023-08-29
2067,4081,15,20230901,30.0,1.2,Credit Card,2023-09-01
2068,4081,15,20230905,134.0,1.0,Cash,2023-09-05
2069,4081,41,20230922,41.0,2.6,Credit Card,2023-09-22
2070,4082,23,20221018,98.0,1.9,Cash,2022-10-18
2071,4082,11,20221031,188.0,2.3,Cash,2022-10-31
2072,4082,19,20221109,172.0,4.3,Credit Card,2022-11-09
2073,4082,44,20221129,124.0,1.8,Cash,2022-11-29
2074,4082,5,20221222,189.0,2.4,Cash,2022-12-22
2075,4082,23,20221228,176.0,3.1,Credit Card,2022-12-28
2076,4082,15,20230130,10.0,4.5,Cash,2023-01-30
2077,4082,19,20230411,198.0,4.7,Credit Card,2023-04-11
2078,4082,21,20230423,192.0,,Cash,2023-04-23
2079,4082,25,20230510,107.0,3.1,Cash,2023-05-10
2080,4082,5,20230522,161.0,4.9,Credit Card,2023-05-22
2081,4082,33,20230605,70.0,2.3,Credit Card,2023-06-05
2082,4082,7,20230702,18.0,1.4,Cash,2023-07-02
2083,4082,33,20230707,147.0,1.9,Credit Card,2023-07-07
2084,4082,36,20230720,106.0,1.2,Credit Card,2023-07-20
2085,4082,29,20230721,183.0,4.7,Credit Card,2023-07-21
2086,4082,27,20230805,45.0,4.3,Cash,2023-08-05
2087,4082,15,20230821,51.0,3.4,Credit Card,2023-08-21
2088,4082,23,20230829,167.0,5.0,Cash,2023-08-29
2089,4082,47,20230907,121.0,2.3,Cash,2023-09-07
2090,4082,42,20230914,167.0,1.9,Cash,2023-09-14
2091,4083,25,20221004,97.0,2.2,Credit Card,2022-10-04
2092,4083,50,20221023,172.0,5.0,Credit Card,2022-10-23
2093,4083,36,20221127,115.0,3.9,Credit Card,2022-11-27
2094,4083,43,20221216,82.0,4.1,Cash,2022-12-16
2095,4083,37,20230204,121.0,3.4,Cash,2023-02-04
2096,4083,33,20230323,192.0,3.8,Cash,2023-03-23
2097,4083,8,20230409,2636.0,1.7,Cash,2023-04-09
2098,4083,27,20230415,28.0,,Credit Card,2023-04-15
2099,4083,23,20230517,165.0,,Cash,2023-05-17
2100,4083,48,20230602,18.0,4.8,Cash,2023-06-02
2101,4083,31,20230609,200.0,1.7,Credit Card,2023-06-09
2102,4083,16,20230622,116.0,3.4,Credit Card,2023-06-22
2103,4083,37,20230702,29.0,2.4,Credit Card,2023-07-02
2104,4083,37,20230716,19.0,2.3,Credit Card,2023-07-16
2105,4083,27,20230725,98.0,4.6,Credit Card,2023-07-25
2106,4083,16,20230809,29.0,2.4,Credit Card,2023-08-09
2107,4083,35,20230908,158.0,3.3,Credit Card,2023-09-08
