article,nb_transactions,nb_clients,ca_article_usd,panier_moyen_usd,panier_median_usd,montant_min_usd,montant_max_usd,nb_avis,note_moyenne_simple,note_moyenne_ponderee,pct_ca,rang_ca
Tunic,54,46,17275.0,319.9074074074074,124.0,13.0,4661.0,51,2.535294117647059,1.7413250883392224,4.008567079396313,1
Jeans,48,38,13068.0,272.25,131.0,18.0,4771.0,42,3.161904761904762,3.7754869739478956,3.032356271696152,2
Pajamas,61,52,12798.0,209.80327868852459,119.0,20.0,3728.0,56,2.8392857142857144,2.6147109726548976,2.9697042826115205,3
Shorts,74,54,12702.0,171.64864864864865,110.5,14.0,4872.0,69,2.8391304347826094,3.2390249877511024,2.9474280198258738,4
Handbag,59,51,12668.0,214.71186440677965,94.0,10.0,4619.0,53,3.237735849056603,2.6719435307017543,2.9395385100892906,5
Gloves,52,42,12330.0,237.1153846153846,116.0,10.0,4298.0,48,3.1041666666666665,3.6571525481217666,2.861107501531493,6
Boots,52,45,11891.0,228.67307692307693,92.0,10.0,3718.0,46,3.130434782608696,3.118507248970824,2.759240008167963,7
Poncho,60,46,11422.0,190.36666666666667,111.5,10.0,2902.0,54,2.831481481481481,3.5852481617647056,2.6504111826839183,8
Flip-Flops,41,35,11309.0,275.8292682926829,127.0,18.0,4932.0,37,3.348648648648649,3.8470675575352637,2.62419016502998,9
Slippers,46,37,11284.0,245.30434782608697,120.5,15.0,4069.0,41,3.073170731707317,4.146243692767707,2.618389054929551,10
Loafers,60,48,11005.0,183.41666666666666,127.0,12.0,4233.0,53,2.7905660377358488,2.911394037066881,2.553648666208766,11
Sweater,51,44,10870.0,213.13725490196077,121.0,26.0,4859.0,44,3.0954545454545443,3.9720669291338573,2.52232267166645,12
Belt,69,58,10484.0,151.94202898550725,94.0,16.0,3839.0,65,2.947692307692308,2.4864344180475144,2.432753531715829,13
Blouse,57,49,10472.0,183.71929824561403,135.0,10.0,3731.0,49,2.8367346938775517,2.7975279376904845,2.4299689988676234,14
Trench Coat,56,50,9992.0,178.42857142857142,90.5,13.0,2952.0,54,3.1962962962962966,3.3387653294533366,2.31858768493939,15
Blazer,54,48,9985.0,184.90740740740742,119.5,14.0,4232.0,50,3.0619999999999994,2.9176835682726705,2.31696337411127,16
Hoodie,62,54,9579.0,154.5,112.5,25.0,2653.0,57,2.7982456140350878,3.0517948717948715,2.2227533460803057,17
Onesie,59,50,9549.0,161.84745762711864,116.0,13.0,2914.0,53,2.979245283018868,3.5694817878892335,2.2157920139597915,18
Romper,48,42,9461.0,197.10416666666666,107.0,12.0,4465.0,36,3.102777777777778,3.0863891726251276,2.195372106406282,19
Wallet,60,46,9372.0,156.2,107.0,19.0,3003.0,56,3.1446428571428564,3.70999441652708,2.1747201544487553,20
Pants,71,56,9295.0,130.91549295774647,71.0,10.0,3378.0,59,3.0474576271186447,3.342320606889691,2.1568527353394344,21
Cardigan,61,53,9270.0,151.9672131147541,112.0,12.0,2636.0,57,3.0578947368421048,2.615636032342558,2.1510516252390057,22
Scarf,59,48,9175.0,155.5084745762712,123.0,18.0,2379.0,55,3.0981818181818177,3.0565171066650882,2.1290074068573763,23
Kimono,61,51,9130.0,149.672131147541,100.0,10.0,3138.0,55,2.8872727272727277,2.813834206248872,2.1185654086766044,24
T-shirt,63,48,9043.0,143.53968253968253,107.0,12.0,2108.0,56,3.160714285714285,3.1649036163772513,2.098377545527112,25
Swimsuit,49,43,9026.0,184.20408163265307,122.0,10.0,3393.0,46,3.1565217391304343,3.637792912386009,2.0944327906588205,26
Bowtie,44,40,8705.0,197.8409090909091,100.0,12.0,4418.0,36,2.8444444444444446,3.1853491902834,2.0199465369693144,27
Tank Top,66,59,8296.0,125.6969696969697,88.5,11.0,2102.0,60,3.191666666666667,3.3990528606169215,1.925040375726299,28
Leggings,49,44,8087.0,165.0408163265306,96.0,11.0,3126.0,42,2.657142857142857,2.8215001431434303,1.8765430952867141,29
Socks,59,50,8033.0,136.15254237288136,86.0,10.0,2881.0,49,2.7326530612244895,2.678965952080706,1.864012697469788,30
Jacket,50,47,7899.0,157.98,119.0,11.0,2571.0,45,2.6355555555555554,2.167027249075722,1.8329187473314894,31
Skirt,70,57,7357.0,105.1,116.0,10.0,196.0,63,3.333333333333333,3.343672199170124,1.7071506803541925,32
Raincoat,55,45,6777.0,123.21818181818182,129.0,23.0,199.0,49,2.993877551020408,3.08217902646194,1.572564926024244,33
Trousers,40,37,6458.0,161.45,104.0,11.0,2419.0,39,2.907692307692307,3.531223694466095,1.4985427611427722,34
Sneakers,59,48,6436.0,109.08474576271186,121.0,11.0,196.0,53,2.939622641509434,3.0367068965517245,1.4934377842543949,35
Vest,58,50,6190.0,106.72413793103448,106.5,10.0,199.0,52,2.992307692307693,2.86859243697479,1.4363548608661754,36
Backpack,55,51,6168.0,112.14545454545454,120.0,13.0,197.0,52,3.0365384615384623,2.950025947067981,1.431249883977798,37
Camisole,62,51,6136.0,98.96774193548387,100.5,14.0,200.0,60,2.7433333333333336,2.8346635103145075,1.4238244630492491,38
Umbrella,54,46,5815.0,107.68518518518519,105.0,13.0,197.0,52,3.098076923076923,3.025713266761769,1.349338209359743,39
Hat,56,50,5783.0,103.26785714285714,107.5,10.0,200.0,49,2.8346938775510204,2.7974877330716392,1.341912788431194,40
Overalls,54,47,5574.0,103.22222222222223,104.5,12.0,197.0,45,3.024444444444445,3.2283488422419384,1.2934155079916092,41
Sandals,47,43,5571.0,118.53191489361703,120.0,10.0,200.0,43,3.2325581395348832,3.0434395408668116,1.2927193747795578,42
Coat,52,42,5554.0,106.8076923076923,117.5,17.0,193.0,50,3.0980000000000008,3.0673195299384437,1.2887746199112662,43
Sunglasses,59,50,5495.0,93.13559322033899,80.0,11.0,196.0,54,2.668518518518518,2.828876127973749,1.2750840000742543,44
Flannel Shirt,53,46,5426.0,102.37735849056604,107.0,10.0,191.0,51,2.5901960784313722,2.671161825726141,1.2590729361970707,45
Jumpsuit,46,40,5254.0,114.21739130434783,119.0,27.0,198.0,40,3.2700000000000005,3.4016246259085077,1.2191612987061204,46
Tie,46,39,4743.0,103.1086956521739,111.0,12.0,199.0,40,2.9875,3.027820965842167,1.1005866082533553,47
Polo Shirt,43,39,4556.0,105.95348837209302,104.0,25.0,200.0,41,2.8146341463414637,2.751846906987094,1.0571943047021477,48
Dress,44,40,4107.0,93.3409090909091,96.5,21.0,195.0,43,2.967441860465117,3.0978190022562044,0.9530063672984462,49
Sun Hat,42,36,4077.0,97.07142857142857,99.0,25.0,194.0,37,3.5081081081081082,3.352569832402234,0.9460450351779317,50
